244918,12803
244980,27579
244982,40258
244983,15985
245064,91514
245066,12643
245068,11487
245145,683731
245146,756479
245151,80995
245152,91896
245231,172467
245232,575949
245233,135320
245253,175353
245259,271562
245343,378245
245345,1243401
245346,159353
245347,664432
245353,933380
245401,429670
245407,1149308
245409,498050
245410,104814
245446,69492
245450,153468
245496,613754
245501,771964
245504,381131
245505,213194
245507,946150
245535,793518
245540,419882
245542,663587
245543,1180327
245554,1007831
245683,2374993
245692,1120665
245700,659028
245705,192299
245729,658353
245731,2002000
245738,1161531
245752,738712
245759,806775
245766,658567
245775,1031070
245785,305472
245793,416689
245829,1160387
245831,1167078
245833,210787
245949,326450
245952,1822036
245954,1182365
245963,1351386
245996,277770
246001,2132249
246003,352847
246012,434325
246036,126269
246037,1030502
246042,2903777
246048,229260
246049,1972142
246053,1074708
246087,8413544
246089,197095
246113,860796
246115,267142
246148,3182006
246151,1833496
246152,281148
246153,2772243
246178,473621
246181,1647392
246182,1290662
246217,2079196
246220,415044
246222,2217153
246225,744635
246272,3268779
246275,737317
246276,347370
246390,27089
246391,85775
246392,105734
246424,1683065
246428,267178
246431,1064643
246433,251272
246434,2417962
246487,423940
246488,4487990
246493,803063
246495,244474
246675,1395846
246676,285576
246750,1221011
246751,1198746
246755,831348
246757,338786
246758,944135
246759,194356
246760,690745
246763,326414
246765,179006
246804,586400
246805,1872389
246806,1480384
246807,1503480
246808,180141
246809,1439407
246844,447192
246845,852131
246846,527899
246847,991655
246851,722629
246855,767899
246859,728847
246864,1455325
246865,476358
246867,886640
246871,521329
246930,329815
246937,412599
246942,584102
246945,1253583
246948,511178
246949,1653060
246980,4067741
246982,295947
246984,2370749
246989,2204781
246991,250002
246994,713849
295584,28931
295585,40727
295586,122770
295587,56379
295588,70063
295589,144760
295612,230260
295615,29210
295665,168130
295666,166995
295667,49050
295668,66507
295671,165755
295673,157370
295675,66598
295676,162193
295677,134682
295714,174516
295716,170388
295717,145435
295718,130167
295719,149018
295723,256348
295725,449623
295753,194297
295754,564926
295755,511707
295758,953317
295759,268445
295762,138402
295763,515701
295786,378535
295788,1549871
295791,433416
295816,610188
295818,73136
295819,1390996
295822,1143462
295825,129978
295826,804030
295829,473155
295831,395725
295854,880023
295855,886840
295856,882554
295859,534549
295860,425358
295861,543315
295863,372317
295881,361670
295908,1485406
295909,402121
295910,1639096
295913,1597201
295936,760994
295937,210588
295941,867715
295942,994672
295943,864986
295945,1054487
295947,1390830
296061,669623
296062,932886
296063,1394913
296065,1264803
296066,378103
296068,1022781
296123,262004
296128,229027
296132,1082716
296133,889522
296134,2007314
296135,1202761
296142,920989
296143,275054
296191,2596689
296192,255326
296194,1458715
296195,377728
296196,1241865
296197,1064063
296198,417435
296241,436595
296242,490402
296243,806090
296244,4294397
296246,944310
296247,604771
296269,1975075
296270,775491
296273,3707492
296279,207461
296280,826607
296303,1035848
296304,3132075
296307,1496207
296309,1075484
296312,1089024
296376,541741
296377,3107349
296378,2728101
296379,1066683
296380,1476904
296381,737761
296383,778064
296414,2469402
296419,1384808
296420,710067
296423,803329
296424,194554
296433,2246897
296472,431805
296509,1489750
296510,4517744
296511,1275921
296514,242596
296516,304400
296547,540737
296548,685740
296549,2418822
296550,1969854
296551,1006072
296552,241508
296553,353604
296615,786635
296616,270160
296618,1147496
296619,778408
296622,353511
296623,1084481
296690,3483021
296691,321216
296694,2635509
296749,4730994
296750,4190317
296752,38880
296781,416452
296784,1524814
296785,965722
296786,381196
296787,1656382
296791,389782
296793,716838
296794,1604801
296799,1421526
296836,759427
296838,273454
296839,1481112
296848,1101702
296849,5960153
296850,1434269
296851,449282
296852,483116
296890,4061349
296894,2346906
296899,1064455
296900,1393430
296903,521609
296930,716605
296931,266454
296932,601372
296934,1316421
296935,2217288
296938,823076
296941,1461819
296966,1684086
296967,400894
296968,1581408
296969,936195
296971,341414
296975,3694146
296976,552631
296979,543342
297029,3609175
297031,3009277
297035,648212
297085,489065
297117,1182472
297118,1230424
297119,1352490
297123,1695768
297124,321598
297128,1213647
297129,1424332
297132,1421542
297133,590535
297193,3897710
297194,5315459
297196,1081175
297218,3282730
297219,5354876
297221,1442191
297222,877204
297278,307892
297310,342987
297312,1226511
297315,4043586
297317,2190946
297363,970074
297366,1079760
297367,1574170
297372,1630503
297379,3805189
297380,781856
297405,290613
297408,2070029
297413,1506062
297414,1116168
297415,3441231
297441,2578160
297442,1007037
297446,4122461
297450,989254
297451,674797
297452,584841
297479,3941078
297481,5434756
297483,1011657
297512,805403
297537,916845
297540,318483
297541,2023608
297542,785109
297544,3684325
297558,241229
297588,2665214
297590,1592831
297595,839893
